#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
0,50s,"50대 초반",Pesticide,"페트병에 담겨 있는 농약",Logo Printed Windbreaker,"유명 브랜드 로고가 있는 바람막이 점퍼",Black Converse,"검은색 컨버스 운동화",Long Brown hair,"장발의 밝은 갈색 염색머리",Left Ear Pierced,"왼쪽 귀에 1개 이상의 피어싱",Soldier,"군인",Late Night,"변기 물 내리는 소리",Closed Amusement Park,"오후 9시",Toilet Flush Sound,"넓은 공원의 폐장된 유원지",Maggot,"이제 막 태어난 작은 구더기"
1,40s,"40대 후반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Brown Short Babyperm,"짙은 갈색의 짧은 베이비 펌 커트 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Sanitation Worker,"환경미화원",Early Morning,"고속도로 자동차 소리",Motel in Backstreet,"오전 6시",Cars On Highway,"모텔촌에 위치한 낡은 모텔",Weapon With Fingerprint,"알 수 없는 지문이 묻어 있었던 그 흉기"
2,20s,"20대 초반",Cordless Drill,"나무용 비트가 장착된 B 사의 전동 드릴",Undershirt,"흰색 런닝 셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Engagement Ring,"네 번째 손가락에 반지",Mart Cashier,"마트 직원",Late Night,"불경 읊는 소리",Old Snack Bar,"오후 9시",Reading Buddhist Text,"학교 앞 분식집",Black Vinyl Bag,"검은 비닐 봉지"
3,20s,"20대 초반",Green Utility Knife,"초록색 문구용 커터칼",Jersey Zip Hoodie,"저지 소재 트레이닝복",Black Low Sneakers,"검은색 낮은 운동화",Comma Hairstyle,"검은색 쉼표 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Mart Cashier,"마트 직원",Late Night,"헬리콥터 프로펠러 소리",Big Old Arboretum,"오후 9시",Propeller Sound,"개원한 지 30년 된 오래되고 넓은 수목원",Fingerprints,"지문 몇 점"
4,30s,"30대 중반",Wooden Cane,"원목으로 만들어진 나무 지팡이",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Millitary Backpack,"군용 밀리터리 백팩",Nurse,"간호사",Late Night,"종이컵을 잘근잘근 씹는 소리",Office,"오후 9시",Chewing Paper Cup,"중소 기업 사옥의 7층 사무실",Black Wig Hair,"검정색 가발용 머리카락"
5,50s,"50대 초반",Sniper Gun ULR338,"저격소총 ULR 338",Undershirt,"흰색 런닝 셔츠",Chess Patteren loafer,"체스판 무늬의 슬립온",Mid-long Straight Hair,"중단발의 검은 생머리",Electronics Anklet,"전자 발찌",Sanitation Worker,"환경미화원",Deep Dawn,"바닥에 침을 뱉는 소리",Lecture Hall,"오전 3시",Spit On Ground,"대학교 건물 안 강의실",Used Toilet Paper,"사용한 휴지 몇 장"
6,30s,"30대 중반",Studded Dirty Knuckle,"마디마다 스터드가 박힌 두껍고 더러운 금색 너클",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Black Low Sneakers,"검은색 낮은 운동화",Long Blonde hair,"장발의 금발 머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Director,"연출가",Late Night,"망치질 소리",Old Guest House,"오후 9시",Hammering Sound,"계곡가에 위치한, 노인이 운영하는 민박",Excrements,"누가 쌌는지 모를 배설물"
7,20s,"20대 초반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Knee High Wellies,"무릎까지 오는 고무 장화",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Gold Cross Necklace,"십자가 펜던트가 달린 은 금목걸이",Athletic Trainer,"스포츠 트레이너",Early Morning,"신음 참는 소리",Messy Goshiwon,"오전 6시",Bearing Groaning,"관리가 되지 않아 더러운 고시원",Nail Tips,"네일팁 몇 개"
8,60s,"60대 중반",Expandable Nightstick,"검은색 호신용 삼단 곤봉",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",White Platform Sneakers,"키높이 흰색 스니커즈",Brown Short Babyperm,"짙은 갈색의 짧은 베이비 펌 커트 머리",Eyebrow Piercing,"눈썹 피어싱",Lawyer,"변호사",Early Morning,"망치질 소리",Lonesome Bus Station,"오전 6시",Hammering Sound,"인적 드문 시골의 유일한 버스 정류장",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
9,50s,"50대 초반",Hydrochloric Acid,"염산",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Athlete,"운동선수",Late Afternoon,"거센 바람 소리",PC cafe,"오후 3시",Strong Wind,"중학교 앞 건물 2층의 최신식 PC방",Light Brown Hair,"밝은 갈색의 머리카락"
